,time,type,collection_id,scheduling_class,missing_type,collection_type,priority,alloc_collection_id,instance_index,cpus,mu
0,0.05807664265344515,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
1,0.08875991305643678,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
2,0.09047652269265087,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
3,0.09075282045598851,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
4,0.09114787292818184,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
5,0.09196048481488364,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
6,0.09246046784032366,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
7,0.092862693790654,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
8,0.09309107562969354,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
9,0.09319662737581172,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
10,0.1088364785613205,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
11,0.111500182728246,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
12,0.11150018278351014,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
13,0.11172630714016367,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
14,0.11207200004598815,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
15,0.11244570464605867,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
16,0.1125188768985858,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
17,0.11251973675451551,2,0.009174311926605505,2,1,0,1,0,0.011650485436893204,0.05987548828125,0.016937255859375
